rank_saa,playerID,name,career_PA,qualifying_seasons,SAA_final,SAA_total,SAA_peak,SAA_rate,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,real_WAR,is_negro_leaguer,season_equivalents
75,mizejo01,Johnny Mize,7371.0,13.0,8.63853517502591,9.57924863185709,7.697821718194728,0.8091720651998107,1.0556501071770519,2.1805498082014605,0.5143669026972985,-0.6645404020471035,-0.7333527973938125,70.39,False,15.30904576701799
76,mccovwi01,Willie McCovey,9686.0,21.0,8.541654622865803,9.563916335517774,7.5193929102138295,0.6004970491116224,0.2696830853807448,1.9849941336778745,1.452926845451461,-0.6788611870184932,-0.7665634122462995,64.52,False,19.831940037918237
77,bakerfr01,Home Run Baker,6660.0,12.0,8.421545358695813,8.984575694701551,7.858515022690076,0.8134518510368088,1.0084227964659191,1.2498370887862604,-0.3349051373612879,0.03254737464051878,0.8310483086661592,62.61,False,14.187022033345649
78,otisam01,Amos Otis,8246.0,14.0,8.381091018296718,9.487076388474044,7.275105648119391,0.714298636351415,0.49122241451914417,0.4194316138315182,0.06269518559402604,1.2730691222604418,1.5376299853038478,42.78,False,17.339932752370192
79,carewro01,Rod Carew,10550.0,19.0,8.372279746579826,8.631296304360175,8.113263188799477,0.49087941067451235,2.09076427413799,-0.5091632125239746,0.21703379176830428,0.7122263763555831,-0.3826346231104048,81.19,False,22.908531982533965
80,sislege01,George Sisler,9013.0,15.0,8.361635556463607,8.016820743255808,8.706450369671407,0.5336838395599118,1.3901553570457594,0.3894278234126766,-0.9057286137043988,1.1329524097022705,-0.11456747088703004,57.65,False,18.490348939320082
81,freemfr01,Freddie Freeman,9363.0,15.0,8.360672521076145,9.878042876919679,6.843302165232612,0.6346317299659286,1.443147037225492,0.8670305613155952,0.986242338570117,-0.2473411377846775,-0.6615583483747074,67.45,False,21.309766728856562
82,thomeji01,Jim Thome,10313.0,18.0,8.323234756801805,10.20765204173578,6.438817471867828,0.6314011572207701,0.19177207355689035,1.9424297577046719,2.3576759795516655,-0.8545725075033753,-0.795848696812639,72.94,False,20.437992693767562
83,doerrbo01,Bobby Doerr,8028.0,13.0,8.24152001761696,9.22981880181469,7.2532212334192305,0.7047456453409027,0.44170353312458394,0.9131824688881363,0.025070052934615252,-0.41713411284416324,1.6874312536402072,51.24,False,16.118318132353355
84,jacksre01,Reggie Jackson,11416.0,20.0,8.095408813582644,9.266723149038658,6.924094478126628,0.492867111907029,-0.03616107311194881,1.7683130880912887,0.9066714540383692,0.16605291409625628,-0.6702546470011774,74.03,False,24.402323346967627
85,kellejo01,Joe Kelley,8139.0,16.0,8.053781752617045,8.929388779299172,7.17817472593492,0.6620901220439327,0.8062964074373202,1.0350736208391424,1.0095583429956505,0.3713088495563722,-0.14203802847104174,50.57,False,16.868309747900526
86,pinsova01,Vada Pinson,10403.0,17.0,8.053577278936645,7.944159737748527,8.162994820124762,0.4630813021130008,0.8102981710447379,0.3554178321754175,-1.0314144981021447,1.162499285789036,0.5012901118913251,54.09,False,21.88881427162711
87,wellswi99,Willie Wells,4677.0,10.0,7.98838205273019,8.183571335771328,7.793192769689052,1.4861207026219116,1.3681535976454668,1.7784121094554406,0.7552646538688662,1.7206741143606339,1.439847115645692,54.6,True,11.665624404895125
88,bondsbo01,Bobby Bonds,8090.0,13.0,7.975073987829217,8.854809331976575,7.095338643681858,0.6725171644539172,0.147581342612848,1.3013519552229897,0.6038695018734195,2.0826981604515042,-0.15409795564663273,57.86,False,16.545320986888527
89,willike01,Ken Williams,5616.0,11.0,7.9371348866622125,8.101563113638312,7.772706659686113,0.8961906099157427,0.6770745291975596,1.6859585790284044,0.6675812188016562,0.4310505648292378,0.38708749542431903,42.58,False,10.878861412716502
90,willibe02,Bernie Williams,9053.0,16.0,7.926690850661938,8.541943598387281,7.311438102936595,0.5661290355718954,0.7827901037238243,0.2730652907793587,0.7358290659159593,-0.10301533862866638,0.9304552224610557,49.589999999999996,False,19.06068660765596
91,molitpa01,Paul Molitor,12160.0,20.0,7.926355043462049,9.44369094070767,6.409019146216428,0.4678568709788294,1.2975780451428953,0.015087351321154224,0.012962068543722517,0.8421366224783357,-0.05726308531295623,75.7,False,26.197651972324806
92,kinerra01,Ralph Kiner,6256.0,10.0,7.853465676288495,8.06571000686157,7.6412213457154206,0.7735655377424779,0.18018768227410112,2.3678206522116323,1.5869964157877035,-0.5714597935142415,-0.4619531241529416,48.11,False,13.251737917545286
93,robinja02,Jackie Robinson,5948.0,10.0,7.847231086363877,8.202501867574632,7.49196030515312,0.8482421786530125,1.241851818917618,0.41243614274166746,0.6624553889769923,2.7135526748722505,0.07177491885151345,64.08,True,12.153181529042769
94,harpebr03,Bryce Harper,7665.0,14.0,7.827406787748416,8.9883328457228,6.666480729774031,0.7035876982953267,0.816811459005614,1.3446798046901005,1.934979524082937,0.24927539370553287,-0.8164258629611734,56.72,False,17.530752003033918
95,wynnji01,Jim Wynn,8010.0,15.0,7.806166599461646,7.715894510603435,7.896438688319856,0.5779696262624294,-0.3061301960800313,1.0473092537250037,1.8408195815238182,0.7850390132944353,0.46515024743556216,55.93,False,16.62355328021969
96,sandbry01,Ryne Sandberg,9282.0,15.0,7.7960598361734,7.793072854381355,7.799046817965445,0.5040797447853399,0.6159174228289069,0.5029324398896325,-0.2250175050178146,0.6287779584885065,0.6402437031135453,67.95,False,20.11622030991465
97,beltrad01,Adrian Beltre,12130.0,21.0,7.710273254644084,8.496451703644393,6.924094805643777,0.42026966382412495,0.6084487344806425,0.5544900193597554,-0.548091859038117,-0.3315965622321093,0.7967843989951412,93.72,False,25.4958744945596
98,ramirjo01,Jose Ramirez,6757.0,12.0,7.709248027394726,8.084239069573023,7.334256985216429,0.7193450158303148,0.8355223906843555,1.028413909220998,0.4129636609127565,1.5550361127715875,-0.18317925754862813,59.76,False,15.30509711078546
99,loftoke01,Kenny Lofton,9234.0,16.0,7.701180723196747,9.011752703838992,6.390608742554502,0.5906118648064876,0.8952074631354386,-0.5946092362760754,0.31576959948249606,2.525257013882906,1.0816486770606923,68.39,False,19.449259365859994
100,davisge01,George Davis,10178.0,18.0,7.643041412209202,9.173583033942204,6.112499790476201,0.5461549732452196,0.40527123289679273,0.4446468900689298,0.1722910440450309,0.7348689773791544,1.0023176710654216,84.35000000000001,False,20.88031302105231
101,steartu99,Turkey Stearnes,4498.0,12.0,7.638240193372444,8.647573882427542,6.628906504317346,1.4627979502273827,1.561820992937391,2.6281795133472903,0.28525719766709895,0.9700167086269194,0.2897627118217957,54.82,True,13.011702440329039
102,martied01,Edgar Martinez,8672.0,14.0,7.622005437145793,8.470546025779429,6.773464848512158,0.6177619564200384,1.4166980330933303,0.804115237553745,1.6062687837377096,-0.6645598227931322,-0.7132646043427094,68.42,False,17.443204115061107
103,clemero01,Roberto Clemente,10212.0,18.0,7.587825667422773,8.582545697526424,6.5931056373191215,0.5042623794081329,1.7722827334358846,0.32867669551238876,-0.8667574228901846,-0.22900491730577904,-0.08224607628376361,94.96000000000001,False,21.604963191835324
104,gosligo01,Goose Goslin,9822.0,16.0,7.539254235086045,8.062718223932494,7.015790246239597,0.4987762588266313,0.6146397876649544,0.9371197535298971,0.3368491859322098,0.15300958450499308,-0.07868740287772173,65.78,False,19.52564440805147
105,vaughar01,Arky Vaughan,7721.0,12.0,7.5196827754095015,8.036334998428517,7.003030552390486,0.6494882811229943,1.0667711699200528,0.21953650428600285,0.8139161954472286,0.25424740309277094,0.783898095035888,77.71,False,15.574125669653935
106,dobyla01,Larry Doby,6920.0,12.0,7.44800435976836,8.578180943866622,6.317827775670099,0.8029498543400896,0.5177374949361163,1.2212209484121854,1.0252985345498618,-0.058354472286208464,0.9228395755461674,56.78,True,14.063704498799472
107,kleinch01,Chuck Klein,7168.0,13.0,7.43877541666719,7.091633490379817,7.785917342954564,0.6041431342081344,0.8484595576345876,1.563325316606298,-0.10575918803760595,-0.15282749254116648,-0.46766830003127013,46.31,False,14.617508087073428
108,canoro01,Robinson Cano,9550.0,15.0,7.4237361320512445,8.117018652617222,6.7304536114852676,0.5257136433042242,1.2431821178790194,0.506408153926377,-0.6255857685817846,-0.5631554739751089,0.5985534300914733,68.72,False,19.54828428298891
109,burkeje01,Jesse Burkett,9620.0,15.0,7.420210095774589,8.105638145237336,6.734782046311843,0.5157351948189185,1.379088599839545,0.30668096750416496,0.8190581749028296,-0.11457581811438265,-0.30221955531519573,60.82,False,19.540827437130854
110,benchjo01,Johnny Bench,8669.0,15.0,7.416765615515175,8.203577035408147,6.6299541956222035,0.587368284158101,0.11338211406455066,1.460117209463116,0.38247799255991183,-0.4618119738044375,0.6162594261212684,75.14,False,17.26251301821206
111,killeha01,Harmon Killebrew,9831.0,17.0,7.4015186576291825,8.523902329026647,6.2791349862317185,0.5354770597231691,-0.15657358029310417,2.0464060962123143,2.135059093528935,-0.7105558301382362,-0.8696151069583183,60.44,False,20.382313076117043
112,berkmla01,Lance Berkman,7813.0,13.0,7.3959507648825955,8.177704856465688,6.614196673299503,0.6447599098396075,0.8478199842657347,1.3564129172393828,1.9735479240869074,-0.30789236973642986,-0.9153775802348779,51.96,False,16.146251414278407
113,wrighda03,David Wright,6870.0,11.0,7.392045029384411,7.731139199750658,7.052950859018162,0.7103650106968445,1.0331114686774057,0.6551868686938853,0.7434837502734736,0.6835100260833495,0.3058806592488747,49.13,False,14.123299193315637
114,sosasa01,Sammy Sosa,9896.0,18.0,7.3637845300569875,7.143558836583813,7.5840102235301625,0.43311795694728067,0.047671546267454006,1.6030595437489181,0.04813793990611073,0.1685629605743966,-0.41885730052840825,58.6,False,21.174706148369314
115,murraed02,Eddie Murray,12817.0,20.0,7.333562742244618,8.053241731573612,6.613883752915625,0.3825162317086896,0.7121698393276406,0.9283314889891212,0.46274031806477967,-0.5121039239535916,-0.523489030987288,68.67,False,27.50123912203245
116,dahlebi01,Bill Dahlen,10405.0,19.0,7.296766805426639,7.803803996866775,6.789729613986503,0.45026275585345366,-0.1748073889381722,0.4761754687831765,0.7319038392698204,0.47475815673711674,1.195930661496293,74.94,False,21.574647206753077
